,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
475,2020-12-18,social,-0.005912300870422063,,0.6536490822494102,,
476,2020-12-21,social,-0.03717165042127871,,0.6577752205908057,,
477,2020-12-22,social,-0.015614275909402946,,0.6574886832059865,,
478,2020-12-23,social,-0.01377026320376502,,0.6575459906829504,,
479,2020-12-24,social,-0.00759985860728172,,0.6574313757290228,,
480,2020-12-29,social,-0.29706144256455924,,0.6474025672603531,,
481,2020-12-30,social,-0.002533569799848022,,0.6448237307969809,,
482,2020-12-31,social,-0.004318008636017136,,0.6393795204854172,,
483,2021-01-04,social,0.11377551020408147,,0.7316445583971787,,
484,2021-01-05,social,0.08680714612918018,,0.7323322481207446,,
485,2021-01-06,social,-0.030136986301369854,,0.732848015413419,,
486,2021-01-07,social,-0.026510212950891045,,0.7331345527982381,,
487,2021-01-08,social,-0.02165178571428569,,0.7334783976600211,,
488,2021-01-11,social,0.012776637006616525,,0.7333637827060935,,
489,2021-01-12,social,-0.006082451002478106,,0.7333064752291296,,
490,2021-01-13,social,-0.0011332728921123563,,0.7333637827060935,,
491,2021-01-14,social,0.000680735194009556,,0.7333064752291296,,
492,2021-01-15,social,0.013378684807256151,,0.7331345527982381,,
493,2021-01-18,social,0.009845603043186504,,0.734166087383587,,
494,2021-01-19,social,-0.0070906270773321576,,0.7342233948605509,,
495,2021-01-20,social,0.0011158223610800526,,0.7340514724296594,,
496,2021-01-21,social,-0.00022291573785104794,,0.7334783976600211,,
497,2021-01-22,social,0.006911928651058978,,0.7332491677521658,,
498,2021-01-25,social,0.02369353410097432,,0.7296387967034447,,
499,2021-01-26,social,0.016223231667748216,,0.7283780322102406,,
500,2021-01-27,social,0.01277139208173694,,0.7276330350097108,,
501,2021-01-28,social,0.016393442622950845,,0.7269453452861449,,
502,2021-01-29,social,0.004755996691480645,,0.7223034396520749,,
503,2021-02-01,social,0.07717637373945256,86.2,0.677546300143326,,0.8
504,2021-02-02,social,0.0722200993504011,,0.6776609150972537,,
505,2021-02-03,social,0.004632929436920975,,0.6776609150972537,,
506,2021-02-04,social,0.008158921603405478,,0.6776609150972537,,
507,2021-02-05,social,0.01038001407459529,,0.6780047599590366,,
508,2021-02-08,social,-0.005746125718265685,,0.67491015620299,,
509,2021-02-09,social,-0.039229422066549946,,0.6748528487260261,,
510,2021-02-10,social,0.004374772147284032,,0.6748528487260261,,
511,2021-02-11,social,-0.00725952813067148,,0.6747955412490623,,
512,2021-02-12,social,-0.0005484460694698563,,0.674566311341207,,
513,2021-02-15,social,0.022681543808304276,,0.672560549647473,,
514,2021-02-16,social,0.021999642282239384,,0.672560549647473,,
515,2021-02-17,social,-0.002975148757437902,,0.6722167047856901,,
516,2021-02-18,social,-0.0015797788309636002,,0.6718155524469434,,
